,title,rating,ratings_total,price,link,category
79,DenTek Comfort Clean Floss Picks For Sensitive Gums - 150ct,4.5,1072.0,4.19,https://www.target.com/p/dentek-comfort-clean-floss-picks-for-sensitive-gums-150ct/-/A-13288297,Personal Care
80,Dove Beauty Sensitive Skin Unscented Beauty Bar Soap - 4pk - 3.75oz each,4.7,1974.0,6.49,https://www.target.com/p/dove-beauty-sensitive-skin-unscented-beauty-bar-soap-4pk-3-75oz-each/-/A-11223380,Personal Care
81,Hand and Face Wipes - 25ct - up &#38; up&#8482;,4.6,967.0,1.79,https://www.target.com/p/hand-and-face-wipes-25ct-up-38-up-8482/-/A-16824024,Personal Care
82,Colgate Kids Toothpaste with Fluoride Pump - Maximum Cavity Protection - 4.4oz,4.7,714.0,3.19,https://www.target.com/p/colgate-kids-toothpaste-with-fluoride-pump-maximum-cavity-protection-4-4oz/-/A-16602413,Personal Care
83,Degree Men Cool Rush 72-Hour Antiperspirant &#38; Deodorant Stick - Trial Size - 0.5oz,4.6,656.0,1.19,https://www.target.com/p/degree-men-cool-rush-72-hour-antiperspirant-38-deodorant-stick-trial-size-0-5oz/-/A-12980766,Personal Care
84,Softsoap Moisturizing Liquid Hand Soap Refill - Soothing Aloe Vera - 50 fl oz,4.1,1108.0,5.99,https://www.target.com/p/softsoap-moisturizing-liquid-hand-soap-refill-soothing-aloe-vera-50-fl-oz/-/A-75566355,Personal Care
85,Dr Teal&#39;s Melatonin Sleep Foaming Bubble Bath - 34 fl oz,4.8,819.0,5.89,https://www.target.com/p/dr-teal-39-s-melatonin-sleep-foaming-bubble-bath-34-fl-oz/-/A-76858885,Personal Care
86,Reach Toothbrush Cover - Trial Size - 4ct,4.7,716.0,1.99,https://www.target.com/p/reach-toothbrush-cover-trial-size-4ct/-/A-51220659,Personal Care
87,Native Limited Edition Holiday Sugar Cookie Body Wash - 18 fl oz,4.0,89.0,9.49,https://www.target.com/p/native-limited-edition-holiday-sugar-cookie-body-wash-18-fl-oz/-/A-85972711,Personal Care
88,Dove Men+Care Clean Comfort 48-Hour Antiperspirant &#38; Deodorant Stick - Trial Size - 0.5oz,4.5,576.0,1.19,https://www.target.com/p/dove-men-care-clean-comfort-48-hour-antiperspirant-38-deodorant-stick-trial-size-0-5oz/-/A-14777416,Personal Care
89,TheraBreath Healthy Gums Oral Rinse Mint - 16 fl oz,,,8.99,https://www.target.com/p/therabreath-healthy-gums-oral-rinse-mint-16-fl-oz/-/A-52507382,Personal Care
90,Sensodyne ProNamel Mint Toothpaste - Trial Size - 2.7oz,,,4.99,https://www.target.com/p/sensodyne-pronamel-mint-toothpaste-trial-size-2-7oz/-/A-18819528,Personal Care
91,Checklane Hand Sanitizer Gel with Aloe - 2 fl oz - Trial Size - up &#38; up&#8482;,4.7,427.0,1.49,https://www.target.com/p/checklane-hand-sanitizer-gel-with-aloe-2-fl-oz-trial-size-up-38-up-8482/-/A-83935504,Personal Care
92,Wet Ones Antibacterial Hand Wipes Canister - Fresh Scent - 40ct,4.9,261.0,3.19,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-canister-fresh-scent-40ct/-/A-13397721,Personal Care
93,Dr Teal&#39;s Soothe &#38; Sleep Lavender Foaming Bubble Bath - 34 fl oz,4.8,1129.0,5.89,https://www.target.com/p/dr-teal-39-s-soothe-38-sleep-lavender-foaming-bubble-bath-34-fl-oz/-/A-13983532,Personal Care
94,Method Men Body Wash Sea and Surf - 18 fl oz,4.8,601.0,7.99,https://www.target.com/p/method-men-body-wash-sea-and-surf-18-fl-oz/-/A-52735198,Personal Care
95,Q-Tips Cotton Swabs - 750ct,4.4,1636.0,5.29,https://www.target.com/p/q-tips-cotton-swabs-750ct/-/A-50304471,Personal Care
96,Crest Pro-Health Smooth Formula Toothpaste Clean Mint - 4.6oz,,,2.99,https://www.target.com/p/crest-pro-health-smooth-formula-toothpaste-clean-mint-4-6oz/-/A-13956411,Personal Care
